Category	Specificity	Sensitivity	Accuracy	Precision	F1
Framework (3)<br> High sensitivity	0.9705335642769634	0.9857514200442862	0.9732716658871624	0.8800928313563693	0.9299305208664457
Framework (4)<br> High specificity	0.9985213974906003	0.9225955521324732	0.9848602955187168	0.9927483683828862	0.9563872255489022
SpliceAI (0.2)<br> High sensitivity	0.9729415740779858	0.9749687108886108	0.9733063105198427	0.8877103786816269	0.9292957100252351
SpliceAI (0.5)<br> Recommended	0.9956698069367581	0.9273129873880812	0.9833705763134646	0.9791603131035885	0.9525316455696202
SpliceAI (0.8)<br> High precision	0.998753749313506	0.8073553480311928	0.9643160283393095	0.9930136175251628	0.8906117247238743
