index,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,variance,AUC,
4549,2,1,0,-5,-1,4,5,6,5,7,5,-5,-2,0,14.3877551,0.993364326,[0.992207673629-0.994520978886]
4568,2,1,0,-3,-2,4,5,6,5,7,5,-5,-2,0,13.22959184,0.993364326,[0.992207673629-0.994520978886]
4569,2,1,0,-4,-2,4,5,6,5,7,5,-5,-2,0,13.95918367,0.993364326,[0.992207673629-0.994520978886]
4570,2,1,0,-5,-2,4,5,6,5,7,5,-5,-2,0,14.82142857,0.993364326,[0.992207673629-0.994520978886]
4579,2,1,0,-4,-3,4,5,6,5,7,5,-5,-2,0,14.53571429,0.993364326,[0.992207673629-0.994520978886]
4580,2,1,0,-5,-3,4,5,6,5,7,5,-5,-2,0,15.3877551,0.993364326,[0.992207673629-0.994520978886]
4586,2,1,0,-5,-4,4,5,6,5,7,5,-5,-2,0,16.08673469,0.993364326,[0.992207673629-0.994520978886]
2377,2,1,0,-1,0,3,5,6,5,7,5,-5,-1,0,10.6377551,0.993317879,[0.992160675916-0.994475082854]
4144,2,1,0,-2,0,3,5,6,5,7,5,-5,-1,0,11.12244898,0.993317879,[0.992160675916-0.994475082854]
4154,2,1,0,-3,0,3,5,6,5,7,5,-5,-1,0,11.73979592,0.993317879,[0.992160675916-0.994475082854]
4155,2,1,0,-4,0,3,5,6,5,7,5,-5,-1,0,12.48979592,0.993317879,[0.992160675916-0.994475082854]
4156,2,1,0,-5,0,3,5,6,5,7,5,-5,-1,0,13.37244898,0.993317879,[0.992160675916-0.994475082854]
4476,2,1,0,-2,-1,3,5,6,5,7,5,-5,-1,0,11.45408163,0.993317879,[0.992160675916-0.994475082854]
4486,2,1,0,-3,-1,3,5,6,5,7,5,-5,-1,0,12.06122449,0.993317879,[0.992160675916-0.994475082854]
4487,2,1,0,-4,-1,3,5,6,5,7,5,-5,-1,0,12.80102041,0.993317879,[0.992160675916-0.994475082854]
4488,2,1,0,-5,-1,3,5,6,5,7,5,-5,-1,0,13.67346939,0.993317879,[0.992160675916-0.994475082854]
4507,2,1,0,-3,-2,3,5,6,5,7,5,-5,-1,0,12.51530612,0.993317879,[0.992160675916-0.994475082854]
4508,2,1,0,-4,-2,3,5,6,5,7,5,-5,-1,0,13.24489796,0.993317879,[0.992160675916-0.994475082854]
4509,2,1,0,-5,-2,3,5,6,5,7,5,-5,-1,0,14.10714286,0.993317879,[0.992160675916-0.994475082854]
4519,2,1,0,-4,-3,3,5,6,5,7,5,-5,-1,0,13.82142857,0.993317879,[0.992160675916-0.994475082854]
4520,2,1,0,-5,-3,3,5,6,5,7,5,-5,-1,0,14.67346939,0.993317879,[0.992160675916-0.994475082854]
4527,2,1,0,-5,-4,3,5,6,5,7,5,-5,-1,0,15.37244898,0.993317879,[0.992160675916-0.994475082854]
2382,2,1,0,-1,0,4,5,6,5,7,5,-5,-3,0,11.97959184,0.993311339,[0.992153116127-0.994469560874]
4171,2,1,0,-2,0,4,5,6,5,7,5,-5,-3,0,12.45408163,0.993311339,[0.992153116127-0.994469560874]
4185,2,1,0,-3,0,4,5,6,5,7,5,-5,-3,0,13.06122449,0.993311339,[0.992153116127-0.994469560874]
4186,2,1,0,-4,0,4,5,6,5,7,5,-5,-3,0,13.80102041,0.993311339,[0.992153116127-0.994469560874]
4187,2,1,0,-5,0,4,5,6,5,7,5,-5,-3,0,14.67346939,0.993311339,[0.992153116127-0.994469560874]
4536,2,1,0,-2,-1,4,5,6,5,7,5,-5,-3,0,12.7755102,0.993311339,[0.992153116127-0.994469560874]
4550,2,1,0,-3,-1,4,5,6,5,7,5,-5,-3,0,13.37244898,0.993311339,[0.992153116127-0.994469560874]
4551,2,1,0,-4,-1,4,5,6,5,7,5,-5,-3,0,14.10204082,0.993311339,[0.992153116127-0.994469560874]
4552,2,1,0,-5,-1,4,5,6,5,7,5,-5,-3,0,14.96428571,0.993311339,[0.992153116127-0.994469560874]
4571,2,1,0,-3,-2,4,5,6,5,7,5,-5,-3,0,13.81632653,0.993311339,[0.992153116127-0.994469560874]
4572,2,1,0,-4,-2,4,5,6,5,7,5,-5,-3,0,14.53571429,0.993311339,[0.992153116127-0.994469560874]
4573,2,1,0,-5,-2,4,5,6,5,7,5,-5,-3,0,15.3877551,0.993311339,[0.992153116127-0.994469560874]
4581,2,1,0,-4,-3,4,5,6,5,7,5,-5,-3,0,15.10204082,0.993311339,[0.992153116127-0.994469560874]
4582,2,1,0,-5,-3,4,5,6,5,7,5,-5,-3,0,15.94387755,0.993311339,[0.992153116127-0.994469560874]
4587,2,1,0,-5,-4,4,5,6,5,7,5,-5,-3,0,16.63265306,0.993311339,[0.992153116127-0.994469560874]
2422,3,2,0,-1,0,3,4,5,4,6,4,-4,-3,0,8.515306122,0.993304296,[0.992242590573-0.994366002077]
4770,3,2,0,-2,0,3,4,5,4,6,4,-4,-3,0,8.959183673,0.993304296,[0.992242590573-0.994366002077]
4774,3,2,0,-3,0,3,4,5,4,6,4,-4,-3,0,9.535714286,0.993304296,[0.992242590573-0.994366002077]
