Candidate	Score
Solution 111	0.9953408739 [0.994605947766-0.996075799940]
Solution 112	0.9958011860 [0.995075369386-0.996527002539]
Solution 113	0.9958011860 [0.995075369386-0.996527002539]
Solution 114	0.9958011860 [0.995075369386-0.996527002539]
Solution 115	0.9944139730 [0.993507624860-0.995320321061]
Solution 116	0.9934108013 [0.992495421624-0.994326180938]
Solution 117	0.9958036354 [0.995077775487-0.996529495355]
Solution 118	0.9958058693 [0.995080085547-0.996531653091]
Solution 119	0.9958002647 [0.995074399076-0.996526130417]
Solution 120	0.9958000136 [0.995074143496-0.996525883700]
Solution 121	0.9958036354 [0.995077775487-0.996529495355]
Solution 122	0.9958036354 [0.995077775487-0.996529495355]
Solution 123	0.9944161875 [0.993509802266-0.995322572812]
Solution 124	0.9934090432 [0.992493607933-0.994324478553]
Solution 125	0.9958058693 [0.995080085547-0.996531653091]
Solution 126	0.9958002647 [0.995074399076-0.996526130417]
Solution 127	0.9958002647 [0.995074399076-0.996526130417]
Solution 128	0.9958000136 [0.995074143496-0.996525883700]
Solution 129	0.9958000136 [0.995074143496-0.996525883700]
Solution 130	0.9958058693 [0.995080085547-0.996531653091]
Solution 131	0.9958002647 [0.995074399076-0.996526130417]
Solution 132	0.9958002647 [0.995074399076-0.996526130417]
Solution 133	0.9958000136 [0.995074143496-0.996525883700]
Solution 134	0.9958000136 [0.995074143496-0.996525883700]
Solution 135	0.9958002647 [0.995074399076-0.996526130417]
Solution 136	0.9958000136 [0.995074143496-0.996525883700]
Solution 137	0.9944184214 [0.993512095614-0.995324747261]
Solution 138	0.9944131890 [0.993506804336-0.995319573687]
Solution 139	0.9944131890 [0.993506804336-0.995319573687]
Solution 140	0.9944129379 [0.993506549793-0.995319325934]
Solution 141	0.9944129379 [0.993506549793-0.995319325934]
Solution 142	0.9944131890 [0.993506804336-0.995319573687]
Solution 143	0.9944129379 [0.993506549793-0.995319325934]
Solution 144	0.9934108582 [0.992495473584-0.994326242858]
Solution 145	0.9934064952 [0.992491036362-0.994321953949]
Solution 146	0.9934064952 [0.992491036362-0.994321953949]
Solution 147	0.9934064128 [0.992490952048-0.994321873542]
Solution 148	0.9934064128 [0.992490952048-0.994321873542]
Solution 149	0.9934064952 [0.992491036362-0.994321953949]
Solution 150	0.9934064128 [0.992490952048-0.994321873542]
Solution 151	0.9955685372 [0.994840505733-0.996296568738]
Solution 152	0.9954361373 [0.994703898195-0.996168376501]
Solution 153	0.9955685372 [0.994840505733-0.996296568738]
Solution 154	0.9955685372 [0.994840505733-0.996296568738]
Solution 155	0.9941735539 [0.993265516013-0.995081591764]
Solution 156	0.9954361373 [0.994703898195-0.996168376501]
Solution 157	0.9954361373 [0.994703898195-0.996168376501]
Solution 158	0.9955749918 [0.994846896348-0.996303087349]
Solution 159	0.9955833245 [0.994855389274-0.996311259688]
Solution 160	0.9957407528 [0.995013968438-0.996467537102]
Solution 161	0.9957367364 [0.995009920651-0.996463552210]
Solution 162	0.9953385840 [0.994607414936-0.996069753126]
Solution 163	0.9955288070 [0.994800236356-0.996257377643]
Solution 164	0.9955233438 [0.994794702411-0.996251985112]
Solution 165	0.9954488707 [0.994716680589-0.996181060747]
Solution 166	0.9954572033 [0.994725171156-0.996189235445]
Solution 167	0.9956187699 [0.994887812743-0.996349727145]
Solution 168	0.9956145187 [0.994883529357-0.996345508093]
Solution 169	0.9952202332 [0.994485059970-0.995955406422]
Solution 170	0.9948850672 [0.994142824705-0.995627309616]
Solution 171	0.9954145945 [0.994681991519-0.996147197518]
Solution 172	0.9954088964 [0.994676221076-0.996141571726]
Solution 173	0.9953366206 [0.994601660169-0.996071581033]
Solution 174	0.9953249569 [0.994589813874-0.996060100023]
Solution 175	0.9955749918 [0.994846896348-0.996303087349]
Solution 176	0.9955749918 [0.994846896348-0.996303087349]
Solution 177	0.9941797736 [0.993271678791-0.995087868451]
Solution 178	0.9955833245 [0.994855389274-0.996311259688]
Solution 179	0.9957407528 [0.995013968438-0.996467537102]
Solution 180	0.9957407528 [0.995013968438-0.996467537102]
Solution 181	0.9957367364 [0.995009920651-0.996463552210]
Solution 182	0.9957367364 [0.995009920651-0.996463552210]
Solution 183	0.9953385840 [0.994607414936-0.996069753126]
Solution 184	0.9955288070 [0.994800236356-0.996257377643]
Solution 185	0.9955288070 [0.994800236356-0.996257377643]
Solution 186	0.9955233438 [0.994794702411-0.996251985112]
Solution 187	0.9955233438 [0.994794702411-0.996251985112]
Solution 188	0.9955833245 [0.994855389274-0.996311259688]
Solution 189	0.9957407528 [0.995013968438-0.996467537102]
Solution 190	0.9957407528 [0.995013968438-0.996467537102]
Solution 191	0.9957367364 [0.995009920651-0.996463552210]
Solution 192	0.9957367364 [0.995009920651-0.996463552210]
Solution 193	0.9953385840 [0.994607414936-0.996069753126]
Solution 194	0.9955288070 [0.994800236356-0.996257377643]
Solution 195	0.9955288070 [0.994800236356-0.996257377643]
Solution 196	0.9955233438 [0.994794702411-0.996251985112]
Solution 197	0.9955233438 [0.994794702411-0.996251985112]
Solution 198	0.9957407528 [0.995013968438-0.996467537102]
Solution 199	0.9957367364 [0.995009920651-0.996463552210]
Solution 200	0.9955288070 [0.994800236356-0.996257377643]
Solution 201	0.9955233438 [0.994794702411-0.996251985112]
Solution 202	0.9941881063 [0.993280134165-0.995096078343]
Solution 203	0.9943459067 [0.993438769444-0.995253043936]
Solution 204	0.9943459067 [0.993438769444-0.995253043936]
Solution 205	0.9943418904 [0.993434730265-0.995249050437]
Solution 206	0.9943418904 [0.993434730265-0.995249050437]
Solution 207	0.9939766119 [0.993066563855-0.994886660026]
Solution 208	0.9941672071 [0.993259120457-0.995075293654]
Solution 209	0.9941672071 [0.993259120457-0.995075293654]
Solution 210	0.9941617438 [0.993253604183-0.995069883453]
Solution 211	0.9941617438 [0.993253604183-0.995069883453]
Solution 212	0.9943459067 [0.993438769444-0.995253043936]
Solution 213	0.9943418904 [0.993434730265-0.995249050437]
Solution 214	0.9941672071 [0.993259120457-0.995075293654]
Solution 215	0.9941617438 [0.993253604183-0.995069883453]
Solution 216	0.9954488707 [0.994716680589-0.996181060747]
Solution 217	0.9954488707 [0.994716680589-0.996181060747]
Solution 218	0.9954572033 [0.994725171156-0.996189235445]
Solution 219	0.9956187699 [0.994887812743-0.996349727145]
Solution 220	0.9956187699 [0.994887812743-0.996349727145]
Solution 221	0.9956145187 [0.994883529357-0.996345508093]
Solution 222	0.9956145187 [0.994883529357-0.996345508093]
Solution 223	0.9952202332 [0.994485059970-0.995955406422]
Solution 224	0.9948850672 [0.994142824705-0.995627309616]
Solution 225	0.9954145945 [0.994681991519-0.996147197518]
Solution 226	0.9954145945 [0.994681991519-0.996147197518]
Solution 227	0.9954088964 [0.994676221076-0.996141571726]
Solution 228	0.9954088964 [0.994676221076-0.996141571726]
Solution 229	0.9953366206 [0.994601660169-0.996071581033]
Solution 230	0.9953366206 [0.994601660169-0.996071581033]
Solution 231	0.9953249569 [0.994589813874-0.996060100023]
Solution 232	0.9954572033 [0.994725171156-0.996189235445]
Solution 233	0.9952202332 [0.994485059970-0.995955406422]
Solution 234	0.9948850672 [0.994142824705-0.995627309616]
Solution 235	0.9956187699 [0.994887812743-0.996349727145]
Solution 236	0.9954145945 [0.994681991519-0.996147197518]
Solution 237	0.9953366206 [0.994601660169-0.996071581033]
Solution 238	0.9956145187 [0.994883529357-0.996345508093]
Solution 239	0.9954088964 [0.994676221076-0.996141571726]
Solution 240	0.9953249569 [0.994589813874-0.996060100023]
Solution 241	0.9953249569 [0.994589813874-0.996060100023]
Solution 242	0.9956187699 [0.994887812743-0.996349727145]
Solution 243	0.9954145945 [0.994681991519-0.996147197518]
Solution 244	0.9953366206 [0.994601660169-0.996071581033]
Solution 245	0.9956145187 [0.994883529357-0.996345508093]
Solution 246	0.9954088964 [0.994676221076-0.996141571726]
Solution 247	0.9953249569 [0.994589813874-0.996060100023]
Solution 248	0.9956187699 [0.994887812743-0.996349727145]
Solution 249	0.9954145945 [0.994681991519-0.996147197518]
Solution 250	0.9953366206 [0.994601660169-0.996071581033]
Solution 251	0.9956145187 [0.994883529357-0.996345508093]
Solution 252	0.9954088964 [0.994676221076-0.996141571726]
Solution 253	0.9953249569 [0.994589813874-0.996060100023]
Solution 254	0.9958036354 [0.995077775487-0.996529495355]
Solution 255	0.9958058693 [0.995080085547-0.996531653091]
Solution 256	0.9958002647 [0.995074399076-0.996526130417]
Solution 257	0.9958002647 [0.995074399076-0.996526130417]
Solution 258	0.9958002647 [0.995074399076-0.996526130417]
