Candidate	Score
Solution 111	0.9952690404 [0.994532809428-0.996005271288]
Solution 112	0.9957836768 [0.995057677965-0.996509675550]
Solution 113	0.9957836768 [0.995057677965-0.996509675550]
Solution 114	0.9957836768 [0.995057677965-0.996509675550]
Solution 115	0.9944027425 [0.993496393685-0.995309091240]
Solution 116	0.9934031570 [0.992487766429-0.994318547608]
Solution 117	0.9957836768 [0.995057677965-0.996509675550]
Solution 118	0.9958038469 [0.995078118229-0.996529575599]
Solution 119	0.9957842573 [0.995058134381-0.996510380314]
Solution 120	0.9957798607 [0.995053704226-0.996506017228]
Solution 121	0.9957836768 [0.995057677965-0.996509675550]
Solution 122	0.9957836768 [0.995057677965-0.996509675550]
Solution 123	0.9944027425 [0.993496393685-0.995309091240]
Solution 124	0.9934031570 [0.992487766429-0.994318547608]
Solution 125	0.9958038469 [0.995078118229-0.996529575599]
Solution 126	0.9957842573 [0.995058134381-0.996510380314]
Solution 127	0.9957842573 [0.995058134381-0.996510380314]
Solution 128	0.9957798607 [0.995053704226-0.996506017228]
Solution 129	0.9957798607 [0.995053704226-0.996506017228]
Solution 130	0.9958038469 [0.995078118229-0.996529575599]
Solution 131	0.9957842573 [0.995058134381-0.996510380314]
Solution 132	0.9957842573 [0.995058134381-0.996510380314]
Solution 133	0.9957798607 [0.995053704226-0.996506017228]
Solution 134	0.9957798607 [0.995053704226-0.996506017228]
Solution 135	0.9957842573 [0.995058134381-0.996510380314]
Solution 136	0.9957798607 [0.995053704226-0.996506017228]
Solution 137	0.9944166339 [0.993510354358-0.995322913466]
Solution 138	0.9944032254 [0.993496778089-0.995309672791]
Solution 139	0.9944032254 [0.993496778089-0.995309672791]
Solution 140	0.9943990637 [0.993492593302-0.995305534097]
Solution 141	0.9943990637 [0.993492593302-0.995305534097]
Solution 142	0.9944032254 [0.993496778089-0.995309672791]
Solution 143	0.9943990637 [0.993492593302-0.995305534097]
Solution 144	0.9934130433 [0.992497723113-0.994328363513]
Solution 145	0.9933991549 [0.992483687520-0.994314622309]
Solution 146	0.9933991549 [0.992483687520-0.994314622309]
Solution 147	0.9933987584 [0.992483286413-0.994314230316]
Solution 148	0.9933987584 [0.992483286413-0.994314230316]
Solution 149	0.9933991549 [0.992483687520-0.994314622309]
Solution 150	0.9933987584 [0.992483286413-0.994314230316]
Solution 151	0.9954960652 [0.994766817193-0.996225313194]
Solution 152	0.9953539671 [0.994620231186-0.996087703051]
Solution 153	0.9954960652 [0.994766817193-0.996225313194]
Solution 154	0.9954960652 [0.994766817193-0.996225313194]
Solution 155	0.9941073606 [0.993198529499-0.995016191608]
Solution 156	0.9953539671 [0.994620231186-0.996087703051]
Solution 157	0.9953539671 [0.994620231186-0.996087703051]
Solution 158	0.9954964841 [0.994767253250-0.996225714976]
Solution 159	0.9955777158 [0.994849862459-0.996305569223]
Solution 160	0.9957237357 [0.994996780418-0.996450690969]
Solution 161	0.9957178922 [0.994990865204-0.996444919145]
